,delta_t,Length(m),mu,angle(rad),gravity,total_time,period_time,experiment_period_time,Difference
0,0.001,0.24,0.7,0.3490658503988659,9.80665,10.0,1.017444444444485,1.0088,-0.008644444444485089
0,0.0001,0.24,0.7,0.3490658503988659,9.80665,10.0,1.0113444444435695,1.0088,-0.0025444444435696045
0,0.1,0.24,0.8,0.3490658503988659,9.80665,10.0,,1.0088,
0,0.01,0.24,0.8,0.3490658503988659,9.80665,10.0,1.1949999999999856,1.0088,-0.1861999999999857
0,0.001,0.24,0.8,0.3490658503988659,9.80665,10.0,1.0280000000000347,1.0088,-0.019200000000034745
0,0.0001,0.24,0.8,0.3490658503988659,9.80665,10.0,1.01974444444355,1.0088,-0.010944444443550028
0,0.1,0.24,0.9,0.3490658503988659,9.80665,10.0,,1.0088,
0,0.01,0.24,0.9,0.3490658503988659,9.80665,10.0,1.1199999999999908,1.0088,-0.11119999999999086
0,0.001,0.24,0.9,0.3490658503988659,9.80665,10.0,1.042555555555582,1.0088,-0.033755555555582184
0,0.0001,0.24,0.9,0.3490658503988659,9.80665,10.0,1.031088888887968,1.0088,-0.022288888887967984
0,0.1,0.21,0.0,0.3490658503988659,9.80665,10.0,1.2,0.9042,-0.29579999999999995
0,0.01,0.21,0.0,0.3490658503988659,9.80665,10.0,1.0266666666666497,0.9042,-0.12246666666664974
0,0.001,0.21,0.0,0.3490658503988659,9.80665,10.0,0.9283000000000294,0.9042,-0.02410000000002943
0,0.0001,0.21,0.0,0.3490658503988659,9.80665,10.0,0.9266599999991743,0.9042,-0.02245999999917425
0,0.1,0.21,0.1,0.3490658503988659,9.80665,10.0,1.2,0.9042,-0.29579999999999995
0,0.01,0.21,0.1,0.3490658503988659,9.80665,10.0,1.0012499999999842,0.9042,-0.0970499999999842
0,0.001,0.21,0.1,0.3490658503988659,9.80665,10.0,0.929000000000029,0.9042,-0.02480000000002902
0,0.0001,0.21,0.1,0.3490658503988659,9.80665,10.0,0.9272299999991729,0.9042,-0.02302999999917288
